,OBJECTID,COUNTY,CITY,Shape__Area,Shape__Length,GlobalID,Year,Geography,Geographic Area Name,Total_Population,City
52,55.0,Imperial,Calexico,31087571.5664063,29186.6599500101,267b9237-8daa-4d25-851a-23948c144c2f,2010,1600000US0609710,"Calexico city, California",36304.0,Calexico
53,56.0,Kern,California City,789537582.632813,218543.464220747,af34f78a-3ccb-4bd3-b0b3-43e772f0a9a9,2010,1600000US0609780,"California City city, California",13264.0,California City
54,57.0,Riverside,Calimesa,56203576.0234375,49018.056262052,63e72b98-e528-4e71-9850-38b5c1f0e383,2010,1600000US0609864,"Calimesa city, California",7869.0,Calimesa
55,58.0,Imperial,Calipatria,13738251.6367188,26908.2929220679,1b6ea6c7-e15c-4df7-8918-8fb4f01a65a3,2010,1600000US0609878,"Calipatria city, California",6953.0,Calipatria
56,59.0,Napa,Calistoga,10908956.6210938,18961.5001568051,1168be30-07e6-4065-b24c-48fac689a0b7,2010,1600000US0609892,"Calistoga city, California",5147.0,Calistoga
57,60.0,Ventura,Camarillo,75049422.5078125,81527.131155545,095e1d8c-dc6f-4063-ad62-c4fe61562963,2010,1600000US0610046,"Camarillo city, California",63599.0,Camarillo
58,61.0,Santa Clara,Campbell,24998433.1601563,42631.9448015409,2bbbd31b-a793-4f85-b983-cde31ce0840f,2010,1600000US0610345,"Campbell city, California",38692.0,Campbell
59,62.0,Riverside,Canyon Lake,17337155.8125,23490.5798595959,d8a59ca2-77a6-4047-a457-f95f8a4be94c,2010,1600000US0610928,"Canyon Lake city, California",10618.0,Canyon Lake
60,63.0,Santa Cruz,Capitola,6563801.6015625,17092.7812002259,27c03839-c5ee-47e4-93a3-48e6b28c06fd,2010,1600000US0611040,"Capitola city, California",9801.0,Capitola
61,64.0,San Diego,Carlsbad,144618402.515625,64938.8544561364,5a6fff42-3f29-42e4-b2d9-4b889b46e4fe,2010,1600000US0611194,"Carlsbad city, California",99753.0,Carlsbad
62,65.0,Monterey,Carmel-by-the-Sea,4207291.578125,11103.4492502443,6a527908-3c40-43d0-91db-0035ab4f4639,2010,1600000US0611250,"Carmel-by-the-Sea city, California",3725.0,Carmel-by-the-Sea
63,66.0,Santa Barbara,Carpinteria,9769194.74609375,25481.3894968684,d3427c1b-b943-4c8d-9437-f1271cb93334,2010,1600000US0611446,"Carpinteria city, California",13122.0,Carpinteria
64,67.0,Los Angeles,Carson,71264281.984375,46865.8997333276,f4518762-7f07-4167-bcfe-71639611bd82,2010,1600000US0611530,"Carson city, California",91299.0,Carson
65,68.0,Riverside,Cathedral City,85685092.9335938,72484.3277856403,8fbfe59f-3fd3-4781-bc96-65722c530181,2010,1600000US0612048,"Cathedral City city, California",50597.0,Cathedral City
66,69.0,Stanislaus,Ceres,39070074.109375,50115.3067791011,70de1841-e633-417e-a002-e2cdfcc7f4b2,2010,1600000US0612524,"Ceres city, California",44153.0,Ceres
67,70.0,Los Angeles,Cerritos,33280830.8828125,44159.8808403631,865ccce4-120a-41bf-84c1-bfd29b2cc837,2010,1600000US0612552,"Cerritos city, California",49432.0,Cerritos
68,71.0,Butte,Chico,150665486.738281,133508.407352818,5cf1663f-0a95-414f-9748-4c40491ef5bc,2010,1600000US0613014,"Chico city, California",85130.0,Chico
69,72.0,San Bernardino,Chino,112329838.292969,76113.5247241607,9d9e5c6b-1ae6-4420-9b08-e80745038ca6,2010,1600000US0613210,"Chino city, California",77729.0,Chino
70,73.0,San Bernardino,Chino Hills,169201220.730469,64200.6791684471,5cadc250-9b91-4f00-926f-b28fda8834a2,2010,1600000US0613214,"Chino Hills city, California",74410.0,Chino Hills
71,74.0,Madera,Chowchilla,47512774.2304688,54494.8764883057,cb8e37d6-82f2-4d02-880e-2deeb865b903,2010,1600000US0613294,"Chowchilla city, California",18090.0,Chowchilla
72,75.0,San Diego,Chula Vista,190896872.820313,117806.854388038,023d1032-1b36-4cf5-8758-5f9130ebac61,2010,1600000US0613392,"Chula Vista city, California",229614.0,Chula Vista
73,76.0,Sacramento,Citrus Heights,60529480.2617188,37762.3354788659,b79255dc-3963-433e-8e39-aa88db7ba337,2010,1600000US0613588,"Citrus Heights city, California",84351.0,Citrus Heights
74,77.0,Los Angeles,Claremont,51009193.2226563,55362.5310834762,16410087-eeee-4dcb-8d43-a6467f20dd18,2010,1600000US0613756,"Claremont city, California",34713.0,Claremont
75,78.0,Contra Costa,Clayton,15979272.9726563,22349.1629055951,b7f2675d-373a-4b34-af84-b10369054fba,2010,1600000US0613882,"Clayton city, California",10819.0,Clayton
76,79.0,Lake,Clearlake,45141923.8789063,59497.0070527463,efa9afc2-6f4c-4f71-811e-1f52ab8d4588,2010,1600000US0613945,"Clearlake city, California",15074.0,Clearlake
77,80.0,Sonoma,Cloverdale,13503600.1523438,32391.9174313441,2b6a2347-ed3f-4362-b790-8b7089f33761,2010,1600000US0614190,"Cloverdale city, California",8212.0,Cloverdale
78,81.0,Fresno,Clovis,105253884.558594,97663.5920843977,7fe534b0-8a06-4965-89b6-a244f1a5697f,2010,1600000US0614218,"Clovis city, California",91166.0,Clovis
79,82.0,Riverside,Coachella,116022122.140625,74723.4726990298,209534f3-1a20-49f5-83f6-92a10b358a02,2010,1600000US0614260,"Coachella city, California",38144.0,Coachella
80,83.0,Fresno,Coalinga,26811703.5507813,59004.0782620929,72d7e3bd-16fa-493b-9907-262193259ac1,2010,1600000US0614274,"Coalinga city, California",13086.0,Coalinga
81,84.0,Placer,Colfax,6075099.9609375,26705.3222767442,39d8b993-0031-436d-8bae-b3f9fb0d16b3,2010,1600000US0614498,"Colfax city, California",1766.0,Colfax
82,86.0,San Bernardino,Colton,61239993.6367188,87245.8790894998,289bb1cd-f50a-43ce-9fab-3d49139c2fe4,2010,1600000US0614890,"Colton city, California",52187.0,Colton
83,87.0,Colusa,Colusa,18267046.03125,51340.7961007565,b8cb6085-8438-4866-9433-acf12f10f304,2010,1600000US0614946,"Colusa city, California",5942.0,Colusa
84,88.0,Los Angeles,Commerce,24772005.2695313,34419.7069995715,68975d0f-8ff4-4b4e-9535-3a54ca4ec7ed,2010,1600000US0614974,"Commerce city, California",12758.0,Commerce
85,89.0,Los Angeles,Compton,38044748.484375,65518.6681167707,d45c30cd-6f0e-400c-b6a7-06af1a2a0566,2010,1600000US0615044,"Compton city, California",95761.0,Compton
86,90.0,Contra Costa,Concord,127513459.925781,73130.13750995,bad32c1e-4785-4294-98a6-b4f78931887d,2010,1600000US0616000,"Concord city, California",121326.0,Concord
87,91.0,Kings,Corcoran,29858425.0,53934.7707754362,5e830bb0-2692-46b2-84dc-22b2f17dfdf9,2010,1600000US0616224,"Corcoran city, California",25136.0,Corcoran
88,92.0,Tehama,Corning,16019825.7421875,43990.3019648362,33990b3b-32b3-43ac-bce9-7418d9993f4c,2010,1600000US0616322,"Corning city, California",7546.0,Corning
89,93.0,Riverside,Corona,150160692.253906,132639.418052237,d6a88959-43a9-4ff4-9920-82bd4940de0c,2010,1600000US0616350,"Corona city, California",150497.0,Corona
90,94.0,San Diego,Coronado,54369000.3710938,51643.9853782573,2eb073ea-82ca-44a7-80a6-239ca0ad651b,2010,1600000US0616378,"Coronado city, California",19721.0,Coronado
91,96.0,Orange,Costa Mesa,59407007.5585938,42864.6388678365,fac1c6ae-444d-4765-bcb8-709784ffbe2a,2010,1600000US0616532,"Costa Mesa city, California",109316.0,Costa Mesa
92,97.0,Sonoma,Cotati,8054478.47265625,22654.0211633402,5b9e4bdf-d272-49eb-9914-b0362e024d7e,2010,1600000US0616560,"Cotati city, California",7073.0,Cotati
93,98.0,Los Angeles,Covina,26633974.5429688,68641.7573279985,98b00a9c-0fdb-4a1c-9eb0-d4e00d3fdd8c,2010,1600000US0616742,"Covina city, California",47533.0,Covina
94,99.0,Del Norte,Crescent City,9047176.8046875,27369.6547145774,0b985ba9-d50b-4c8c-9bb9-7bd7ea85a1ff,2010,1600000US0617022,"Crescent City city, California",7676.0,Crescent City
95,100.0,Los Angeles,Cudahy,4619389.23046875,12556.3541993487,9772afdb-d8c3-46e1-b0c9-3798b7e29fdc,2010,1600000US0617498,"Cudahy city, California",23854.0,Cudahy
96,101.0,Los Angeles,Culver City,19392272.7109375,43000.490746853,027a401f-7166-4f9c-989c-cb48ffc50245,2010,1600000US0617568,"Culver City city, California",38827.0,Culver City
97,102.0,Santa Clara,Cupertino,46432499.9726563,61921.0830346664,bbc4a4da-29f5-47fc-ad55-2f0ef9594276,2010,1600000US0617610,"Cupertino city, California",56498.0,Cupertino
98,103.0,Orange,Cypress,24931636.0039063,30858.9018578347,7f27c17f-a060-4721-b163-85317dcf71eb,2010,1600000US0617750,"Cypress city, California",47314.0,Cypress
99,104.0,San Mateo,Daly City,31481708.234375,58686.9224074959,f758ddd6-f085-4f6c-8d0c-bb17c0bb9782,2010,1600000US0617918,"Daly City city, California",99829.0,Daly City
100,105.0,Orange,Dana Point,23829533.8007813,35764.3800881183,a22cb1f5-4c3e-465f-a3c7-004c57308fb1,2010,1600000US0617946,"Dana Point city, California",33484.0,Dana Point
101,107.0,Yolo,Davis,42513322.7070313,43727.0761240824,a2339da4-4198-40b8-a428-15783c349cea,2010,1600000US0618100,"Davis city, California",64842.0,Davis
102,108.0,San Diego,Del Mar,6528006.859375,15013.9662996651,272ec060-91fc-480f-9760-9d392695054f,2010,1600000US0618506,"Del Mar city, California",4178.0,Del Mar
103,109.0,Monterey,Del Rey Oaks,4354362.5859375,15438.2679649463,97c2f816-9d14-454f-b787-ea76ca2f994e,2010,1600000US0618688,"Del Rey Oaks city, California",1774.0,Del Rey Oaks
104,110.0,Kern,Delano,58185971.71875,81035.505056398,c1ba4d11-7395-4df5-ad5a-e4ec3b122467,2010,1600000US0618394,"Delano city, California",51310.0,Delano
105,111.0,Riverside,Desert Hot Springs,115059015.949219,89443.7519455644,f03901d4-e5c1-43e6-adbe-8cbf747f410b,2010,1600000US0618996,"Desert Hot Springs city, California",24675.0,Desert Hot Springs
106,112.0,Los Angeles,Diamond Bar,56260173.3046875,40852.0669566082,0249c0e4-090b-454a-8a6b-1e99971f89ad,2010,1600000US0619192,"Diamond Bar city, California",55701.0,Diamond Bar
107,113.0,Tulare,Dinuba,26401253.625,32025.4985524667,14af3a48-508f-47b9-89db-1271b638086f,2010,1600000US0619318,"Dinuba city, California",20823.0,Dinuba
108,114.0,Solano,Dixon,30637808.0859375,45030.9713116688,d53bfc36-aa76-4d68-991d-70de339e80e8,2010,1600000US0619402,"Dixon city, California",17924.0,Dixon
109,115.0,Siskiyou,Dorris,3429176.59375,10506.6316227417,1f5b113e-71a9-4bc0-ba27-82d70ef23460,2010,1600000US0619584,"Dorris city, California",797.0,Dorris
110,116.0,Merced,Dos Palos,5625361.65234375,19920.8753052145,72e94b51-526f-4fd9-8ffd-20f485340515,2010,1600000US0619612,"Dos Palos city, California",4904.0,Dos Palos
111,117.0,Los Angeles,Downey,47429348.0,33293.6806422824,140938f1-aae3-4682-b65a-e9410156ff8d,2010,1600000US0619766,"Downey city, California",110921.0,Downey
112,118.0,Los Angeles,Duarte,25352553.4179688,41232.9447734242,296f3fca-868a-4116-8516-f385bfd22587,2010,1600000US0619990,"Duarte city, California",21380.0,Duarte
113,119.0,Alameda,Dublin,63102256.5585938,47525.9444602977,ad014bab-425f-45db-bcbb-0d718853a44c,2010,1600000US0620018,"Dublin city, California",42657.0,Dublin
114,120.0,Siskiyou,Dunsmuir,7928150.3515625,31070.5122199109,e46edaa3-feda-49f0-af61-870e6ff9bd6a,2010,1600000US0620242,"Dunsmuir city, California",1782.0,Dunsmuir
115,121.0,San Mateo,East Palo Alto,10429455.75,17040.0888837243,0622de19-2504-4575-8445-4dc46ae9ee14,2010,1600000US0620956,"East Palo Alto city, California",27894.0,East Palo Alto
116,122.0,Riverside,Eastvale,49689314.671875,44382.0657163342,4eb4567b-8131-4182-9901-cf5636066d08,2010,1600000US0621230,"Eastvale CDP, California",49131.0,Eastvale
117,123.0,San Diego,El Cajon,53431661.0625,86079.6035144981,71ddf90f-3d4b-4294-937f-b9ccf4521ef1,2010,1600000US0621712,"El Cajon city, California",97932.0,El Cajon
118,124.0,Imperial,El Centro,44662188.90625,50443.6951513556,20c0aa9a-cb6f-4073-a231-44cfaa4b85ad,2010,1600000US0621782,"El Centro city, California",41581.0,El Centro
119,125.0,Contra Costa,El Cerrito,15324817.5976563,20414.0993249826,5386b0ce-8c5f-434b-bed7-10269dad0cbf,2010,1600000US0621796,"El Cerrito city, California",23320.0,El Cerrito
120,125.0,Contra Costa,El Cerrito,15324817.5976563,20414.0993249826,5386b0ce-8c5f-434b-bed7-10269dad0cbf,2010,1600000US0621810,"El Cerrito CDP, California",5157.0,El Cerrito
121,126.0,Los Angeles,El Monte,36375737.5820313,39418.7893358009,c123241e-5890-4f71-abf6-bad68dcbb190,2010,1600000US0622230,"El Monte city, California",113888.0,El Monte
122,127.0,Los Angeles,El Segundo,20524972.4375,21114.5546261691,637e99b5-d200-49d0-b77c-d91380abe98d,2010,1600000US0622412,"El Segundo city, California",16534.0,El Segundo
123,128.0,Sacramento,Elk Grove,180614318.03125,85062.4264201786,cdf4856a-d3f7-4a4c-b23f-6d8719a8efa4,2010,1600000US0622020,"Elk Grove city, California",141200.0,Elk Grove
124,129.0,Alameda,Emeryville,5216920.73828125,16662.5732975122,d876b8d2-5edb-4ce4-b07f-308e04686d0f,2010,1600000US0622594,"Emeryville city, California",9393.0,Emeryville
125,130.0,San Diego,Encinitas,72182317.5429688,58535.0869649252,efde41bb-1ea9-4829-955f-30182d261d3f,2010,1600000US0622678,"Encinitas city, California",58761.0,Encinitas
126,131.0,San Joaquin,Escalon,9845771.80859375,31546.1028880539,258b5c6c-8839-4d23-a66b-c20855fb69cf,2010,1600000US0622790,"Escalon city, California",7054.0,Escalon
127,132.0,San Diego,Escondido,138573561.773438,205329.721891013,967d38a2-52b7-408d-8b74-271e425402b5,2010,1600000US0622804,"Escondido city, California",140998.0,Escondido
128,133.0,Siskiyou,Etna,3470354.29296875,11297.0685031613,20ee8dfb-4d06-4b70-9df3-0b9ea7999bde,2010,1600000US0622972,"Etna city, California",650.0,Etna
129,134.0,Humboldt,Eureka,72595035.28125,67001.7621693919,d9eecf1e-8100-443c-80cb-4fb04f96fad4,2010,1600000US0623042,"Eureka city, California",26954.0,Eureka
130,135.0,Tulare,Exeter,9753333.3203125,20871.6456755704,d1a94e43-49ca-4c9e-a9e4-ef394426bda3,2010,1600000US0623126,"Exeter city, California",10139.0,Exeter
131,137.0,Solano,Fairfield,176053174.117188,159968.993582147,66711b6c-64ba-4de6-af6c-73a257612590,2010,1600000US0623182,"Fairfield city, California",103698.0,Fairfield
132,138.0,Tulare,Farmersville,9056224.69140625,22231.5974039177,edd42d55-fc22-4d7b-8ca2-c48b0644ab5c,2010,1600000US0623616,"Farmersville city, California",10283.0,Farmersville
133,139.0,Humboldt,Ferndale,5185693.95703125,11752.2745641248,b794dce2-d23a-417b-bb04-8261630c8438,2010,1600000US0623910,"Ferndale city, California",1693.0,Ferndale
134,140.0,Ventura,Fillmore,12609623.3632813,27109.0940171828,6d108b8d-d4da-4160-ad92-78c4cfc67d91,2010,1600000US0624092,"Fillmore city, California",14721.0,Fillmore
135,141.0,Fresno,Firebaugh,14568509.0859375,34938.4764622032,cf8fe876-d809-476e-8bf8-b2ceab474742,2010,1600000US0624134,"Firebaugh city, California",7373.0,Firebaugh
136,142.0,Sacramento,Folsom,127828711.875,60618.547716755,2b5126f2-2f20-487c-b057-037a71ec6fa0,2010,1600000US0624638,"Folsom city, California",69068.0,Folsom
137,143.0,San Bernardino,Fontana,164072192.320313,91356.776229656,7d7da582-ac88-428f-8b40-466e7d5feaf1,2010,1600000US0624680,"Fontana city, California",189466.0,Fontana
138,144.0,Mendocino,Fort Bragg,12609209.6796875,47830.7809436574,44dab379-6277-4091-87ed-6acfd07c8347,2010,1600000US0625058,"Fort Bragg city, California",7196.0,Fort Bragg
139,145.0,Siskiyou,Fort Jones,2873459.64453125,14024.3054955159,a6d99610-ccfb-4e10-be8e-e475cf7591d8,2010,1600000US0625128,"Fort Jones city, California",520.0,Fort Jones
140,146.0,Humboldt,Fortuna,23527739.0820313,34275.2805122921,089cded8-1c3e-4096-ae60-a7681e5de479,2010,1600000US0625296,"Fortuna city, California",11646.0,Fortuna
141,147.0,San Mateo,Foster City,17727304.7382813,21511.8784789167,92313dfb-ecc7-4e48-9645-1de59d7537b9,2010,1600000US0625338,"Foster City city, California",29746.0,Foster City
142,148.0,Orange,Fountain Valley,34015923.2460938,26310.6960313261,6f0d5768-0966-4c8a-bf42-90b4d676ed1e,2010,1600000US0625380,"Fountain Valley city, California",54961.0,Fountain Valley
143,149.0,Fresno,Fowler,10684029.9375,30865.7067888253,b22e762e-5c33-48bf-9d25-fcf3526ffaec,2010,1600000US0625436,"Fowler city, California",5305.0,Fowler
144,150.0,Alameda,Fremont,324788152.777344,144697.719943739,0ef384e5-e463-4cbc-b281-37d2a37d23a2,2010,1600000US0626000,"Fremont city, California",209235.0,Fremont
145,151.0,Fresno,Fresno,472913910.25,444050.581114826,1f6077f2-9377-4a96-93ee-b9aade389b8b,2010,1600000US0627000,"Fresno city, California",484008.0,Fresno
146,152.0,Orange,Fullerton,84592255.6445313,60838.9970048308,0581ad17-ed41-4781-a836-8a86325ba525,2010,1600000US0628000,"Fullerton city, California",132872.0,Fullerton
147,153.0,Sacramento,Galt,30398390.5742188,46752.88692123,be7f91bd-bbaf-4824-89d3-d0a41d92a73d,2010,1600000US0628112,"Galt city, California",23074.0,Galt
148,154.0,Orange,Garden Grove,67328032.890625,75728.7085274797,92a3f12b-8f13-450b-b490-3fbc4c9c36f9,2010,1600000US0629000,"Garden Grove city, California",169009.0,Garden Grove
149,155.0,Los Angeles,Gardena,22071814.125,24272.2339213504,8e9798e8-1aa4-4e5e-8cca-051d27734806,2010,1600000US0628168,"Gardena city, California",58668.0,Gardena
150,156.0,Santa Clara,Gilroy,67431296.4921875,73015.263574911,8020f735-8056-4988-a1cb-939bf704e378,2010,1600000US0629504,"Gilroy city, California",46807.0,Gilroy
